GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NovaFX Export,com.novafx.export,McFunctionExporter,9,170,1,5,2,38,1,6,0,4
NovaFX Export,com.novafx.export,JsonExporter,9,75,0,0,2,17,0,4,0,4
NovaFX Export,com.novafx.export,JsonExporter.PointJson,0,12,0,0,0,1,0,1,0,1
NovaFX Export,com.novafx.export,CsvExporter,9,81,0,2,2,18,0,4,0,3
