GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NovaFX Renderer,com.novafx.renderer,MatrixUtils,15,410,1,7,0,41,1,10,0,7
NovaFX Renderer,com.novafx.renderer,PointRenderer,305,0,20,0,74,0,22,0,12,0
NovaFX Renderer,com.novafx.renderer,ShaderProgram,103,0,4,0,37,0,12,0,10,0
NovaFX Renderer,com.novafx.renderer,Camera,6,215,0,0,2,43,2,16,2,16
NovaFX Renderer,com.novafx.renderer,RenderEngine,157,0,8,0,40,0,13,0,9,0
NovaFX Renderer,com.novafx.renderer,GridRenderer,502,0,8,0,97,0,13,0,9,0
