GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NovaFX Core,com.novafx.core.domain,Project,95,0,8,0,21,0,14,0,10,0
NovaFX Core,com.novafx.core.domain,Preset,4,72,3,9,0,13,3,9,0,6
