GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NovaFX Math,com.novafx.math,Exp4jFunctionParser.new Function() {...},0,13,0,0,0,2,0,2,0,2
NovaFX Math,com.novafx.math,Exp4jFunctionSampler,6,116,1,7,1,23,1,6,0,3
NovaFX Math,com.novafx.math,Vector3d,0,93,0,0,0,6,0,6,0,6
NovaFX Math,com.novafx.math,Exp4jFunctionParser.new Function() {...},0,13,0,0,0,2,0,2,0,2
NovaFX Math,com.novafx.math,FunctionDefinition,4,180,7,13,0,28,7,14,0,11
NovaFX Math,com.novafx.math,MathPresets,0,154,0,0,0,22,0,12,0,12
NovaFX Math,com.novafx.math,Exp4jFunctionParser,0,139,0,8,0,27,0,7,0,3
